S1,S2,S3,S4,S5,S6,S7,S8,Class
2,-1,0,6,10,8,2,1,F
-6,2,3,5,-5,-3,2,-1,F
-10,-6,-9,-26,-36,3,-4,-7,F
6,7,10,27,7,6,2,1,F
-7,-7,-3,-6,-20,-5,-1,-3,F
6,4,11,40,63,8,8,4,F
11,9,6,8,12,-2,1,-1,F
-11,-6,-6,-8,-26,-1,-27,-6,F
0,4,7,-1,56,13,6,0,F
1,2,5,18,35,8,-1,-1,F
-2,-3,-4,3,-14,-3,2,0,F
2,-7,1,8,32,3,7,13,F
-12,0,4,10,7,-32,-11,-1,G
-9,5,6,21,10,72,-20,2,G
-4,-2,3,18,-2,21,22,1,G
-1,-1,1,7,43,-41,-23,-5,G
-7,0,2,4,-7,-46,-8,-7,G
-5,-3,-2,9,40,-61,-14,-1,G
-6,0,0,-6,-42,34,3,7,G
0,2,6,-25,-27,-62,-30,2,G
0,-5,-1,-3,14,29,10,4,G
4,-10,5,21,11,-14,11,3,G
11,6,8,18,53,19,27,15,G
0,-5,-6,-16,-22,19,-27,4,G
-9,7,2,5,6,6,16,-7,G
2,-1,-1,21,12,-54,-8,2,G
-8,-8,-7,-31,-87,-25,-18,-12,G
0,-2,-1,8,-10,35,-20,2,G
4,1,4,37,50,21,-2,2,G
-4,-2,-1,10,-23,-27,24,-4,G
0,7,7,4,8,-20,-7,1,G
3,11,5,-4,-7,30,-10,3,G
-1,-1,2,3,7,2,3,-3,G
-1,-13,0,6,11,59,-12,0,G
-6,-2,-5,-5,-6,10,14,-4,G
-1,2,2,5,-3,-32,-4,0,G
0,-4,2,11,39,36,-13,-4,G
-5,-4,-9,-10,-16,-14,2,-2,G
8,4,3,-2,27,40,16,10,G
0,-2,-2,-5,-28,-13,18,4,G
0,-6,-6,-7,-46,-16,-6,0,G
-5,-1,4,0,4,16,-20,-16,G
-1,-1,2,12,27,-43,2,4,G
-5,0,-7,-29,-12,21,1,3,G
-1,-2,-6,-14,-22,87,1,1,G
-8,0,-3,-12,-31,-15,-32,-12,G
4,-5,-1,-8,31,-52,4,3,G
-4,-3,-9,-16,-41,67,7,-9,G
-1,-2,-2,8,29,8,-14,-4,G
-2,1,2,20,14,7,4,2,G
0,-1,0,-5,9,29,-25,0,G
-11,-3,-2,5,-52,41,-8,-2,G
3,1,3,2,32,-13,7,5,G
-2,-1,4,19,4,-2,11,6,G
11,5,5,11,-17,11,10,-3,G
1,0,-2,-10,-23,-24,-2,-6,G
-5,-6,-7,-16,-21,-7,-6,-3,G
1,3,3,17,21,19,-6,3,G
1,1,-1,-2,58,65,9,2,G
-1,2,-2,-3,-26,-16,-5,-10,G
-3,-3,-3,-13,-56,-47,-10,-4,G
-3,1,-2,8,-3,41,11,-5,G
4,-1,4,13,0,5,3,10,G
6,-2,-2,9,-13,8,-5,1,G
-3,6,0,-1,-34,-43,-12,-2,G
-2,-2,-2,-8,-13,24,-7,-2,G
-3,-6,-5,-13,-25,-6,0,-7,G
-21,-7,-11,-49,-87,-22,-17,-14,G
7,-7,6,26,37,-18,10,8,G
-2,4,7,28,30,3,5,1,G
3,-2,-6,-13,-13,-62,-1,1,G
-2,0,-4,9,-6,13,6,1,G
-1,-7,6,16,31,-29,-15,6,G
-5,-2,-6,2,-20,-11,4,-4,G
6,4,0,-2,5,-40,-27,8,G
0,-2,-3,-5,19,80,-2,-10,G
3,3,1,11,12,-8,2,-2,G
-3,5,2,-4,44,5,10,-4,G
12,-6,-4,7,-21,-31,-2,3,G
1,2,0,11,-15,-21,-6,6,G
-10,-4,0,8,3,-68,-5,-9,G
0,-3,-4,8,-20,-57,-22,-3,G
1,10,6,21,-44,14,12,8,G
1,4,7,-8,2,-32,5,1,G
1,21,10,4,22,1,-3,0,G
3,5,-1,11,4,-2,11,2,G
-7,-3,-1,-10,-54,-6,1,-11,G
8,-5,2,10,38,-22,2,5,G
3,22,11,37,28,-45,7,-6,G
-8,-11,-8,-18,-25,-27,0,-3,G
-5,-14,-5,24,6,24,-7,-11,G
-3,-13,-1,-1,46,-36,-6,-4,G
5,17,13,11,10,-3,-1,4,G
-1,-2,-5,-9,-18,-10,1,-3,G
-2,6,3,3,-14,-3,0,-5,G
-8,7,-6,-28,6,-4,6,5,G
-3,3,-3,10,-77,-21,8,-1,G
0,-2,6,-1,-13,-16,10,-4,G
-5,-1,-3,1,8,37,3,-7,G
6,12,2,-21,-35,-77,-3,5,G
2,-1,-4,-8,-6,-25,8,2,G
0,-2,1,-7,0,0,1,-2,G
-6,7,1,1,-2,23,12,-5,G
2,-6,4,10,-1,-48,-10,3,G
0,1,1,17,48,-18,8,0,G
-3,-12,-7,1,9,-38,-8,-2,G
-5,-2,-8,-9,-10,-40,1,-4,G
-4,-2,-4,7,-9,39,3,-4,G
3,0,1,-7,-10,18,8,6,G
-2,15,0,-1,10,59,10,-2,G
-5,-11,-4,1,7,-21,-27,-15,G
-23,-16,-9,-4,10,-41,-18,-18,G
-9,-5,6,41,100,52,-4,-13,H
1,7,10,13,45,18,-1,4,H
3,0,5,-12,-58,8,3,1,H
-1,5,6,8,11,17,4,3,H
-1,-5,-10,22,-11,-33,-8,7,H
-1,2,3,6,2,-11,5,18,H
-2,-18,-6,-9,14,-17,7,9,H
31,-4,-12,-4,-16,-60,-25,-52,H
21,12,11,-6,10,-10,4,7,H
33,5,8,3,68,8,0,13,H
-17,-3,-13,-32,-86,12,-5,-5,H
-7,3,6,9,24,5,8,12,H
-15,-18,-39,-61,-88,10,-18,-13,H
-22,-7,12,14,78,5,7,-1,H
7,0,0,-14,-56,52,3,8,H
13,6,4,-10,-23,16,-2,-2,H
-8,-9,-19,-37,-56,-2,-10,-12,H
4,3,5,17,35,23,1,23,H
2,6,7,34,1,9,5,-5,H
5,-5,-5,-13,-48,13,4,-6,H
1,6,8,6,50,-22,-1,14,H
53,5,-6,-15,65,26,2,-6,H
-1,5,12,48,68,-2,-4,16,H
17,-2,18,61,25,-20,1,9,H
-12,-4,6,10,12,10,0,-1,H
-1,-5,-6,-33,-92,8,2,7,H
9,-5,-1,19,-24,4,-7,-19,H
-1,1,2,5,12,8,1,0,H
-37,-5,-10,-8,-28,36,8,12,H
4,9,11,-12,65,-64,-9,-5,H
-6,-11,-16,-67,-46,1,-7,-13,H
-17,-13,-20,-42,-76,-26,-17,-5,H
-9,3,7,7,-9,-8,-8,-1,H
17,7,15,12,63,0,8,5,H
16,0,4,26,33,5,-9,-4,H
-6,-11,-22,-72,-85,-16,-7,-3,H
-1,-7,-15,-55,-50,-7,-2,-1,H
15,13,17,52,40,5,8,9,H
5,-4,-2,-27,-57,4,-1,2,H
-10,-5,-7,11,48,53,0,-19,H
-19,-8,-9,5,92,51,-1,1,H
6,-7,-10,-8,80,-9,-4,-20,H
-26,-3,-1,-10,-17,-21,-7,-1,H
-10,6,10,-1,11,4,2,3,H
8,3,1,4,63,4,3,8,H
-3,-7,-2,1,-28,-21,0,10,H
0,7,8,29,4,10,5,8,H
-10,13,15,18,42,36,7,-1,H
4,-5,-1,-4,-29,-14,-12,-16,H
-7,11,-2,-45,-90,-7,1,-10,H
-7,-12,-7,1,-20,4,-11,-16,H
-6,7,-2,-14,-6,2,3,3,H
7,-8,3,18,75,18,7,2,H
-2,-7,-11,-14,-51,-1,4,4,H
-6,-3,0,7,40,3,-7,-7,H
-3,-7,-5,-12,-17,-8,-3,-1,H
4,15,4,-9,-13,-16,0,7,H
5,2,7,29,24,22,5,15,H
4,12,17,35,31,-11,6,2,H
6,2,4,-11,-69,-7,-11,-5,H
-8,-16,-16,-32,-84,2,-2,2,H
2,3,3,18,21,-4,1,-4,H
1,-1,-4,7,-18,-13,-2,3,H
1,4,5,4,7,11,2,2,H
10,-4,-1,8,-49,-34,1,9,H
-5,-1,-9,-49,-86,7,0,-3,H
2,-3,-5,5,-4,-24,5,9,H
0,-4,2,16,17,16,1,2,H
1,3,3,20,33,1,-7,13,H
-4,7,2,1,40,31,0,10,H
-37,-5,-4,-2,5,40,-3,-19,H
-10,-11,-16,-17,-76,-13,-6,-5,H
1,-2,-4,-13,30,5,2,4,H
1,25,14,1,-21,20,1,0,H
5,-7,-15,-29,-3,-16,-6,4,H
1,-1,3,4,3,31,8,-1,H
-2,1,5,4,-8,-18,-5,-4,H
7,2,-10,-52,-108,19,-2,-2,H
-20,-10,-6,-26,-67,-17,-5,-8,H
13,0,1,32,99,14,5,0,H
3,0,5,1,-15,19,0,-4,H
-18,2,3,-2,-31,-53,2,3,H
-6,1,6,3,-17,6,-7,-9,H
1,14,3,-14,-63,30,0,-10,H
-1,3,11,45,77,-2,4,29,H
2,1,11,35,77,-2,2,14,H
-26,-6,-11,-30,-12,-2,-2,1,H
-7,6,3,-1,1,-11,2,1,H
-15,12,11,22,28,15,-4,-7,H
6,-6,-7,-17,-27,-46,-2,6,H
7,-1,-5,3,48,8,4,-10,H
40,-2,-3,-1,5,18,5,-7,H
-4,-3,-3,-20,-45,-13,-1,3,H
6,1,7,-2,-67,6,8,13,H
-10,-15,-24,-83,-61,6,-4,-4,H
-7,-2,-3,10,-3,43,6,3,H
-4,-4,-8,-13,-49,-1,-6,-20,H
2,-6,3,14,-26,19,0,-4,H
-10,-4,-1,13,11,-18,-2,-9,H
3,10,16,38,34,47,5,21,H
6,-3,2,-1,7,1,-2,-1,I
0,-2,-2,-5,-11,-7,2,-3,I
-8,-5,-1,-11,-2,-3,1,-8,I
-1,2,-1,-1,18,-2,-1,0,I
-5,5,-3,-2,18,5,5,-13,I
-8,-3,-5,2,-8,-7,-2,1,I
-4,1,-3,-6,-10,-4,-2,2,I
-4,-2,3,-3,5,-2,-4,-4,I
10,7,4,4,10,2,1,4,I
-2,2,-1,-5,-4,1,3,1,I
1,10,-5,-9,4,-7,-3,-11,I
-6,-4,1,15,-6,-2,-4,-2,I
-2,0,0,-5,-8,-14,-7,-1,I
0,8,5,0,-3,3,2,2,I
-1,-3,-7,-2,10,-1,-1,3,I
-31,-7,-2,1,8,3,3,-9,I
-6,-10,-2,1,-13,1,-1,-7,I
10,-4,-1,9,6,-5,-2,-1,I
-4,0,-6,-1,-61,-15,-5,-3,I
-1,-4,1,-1,-2,5,1,-2,I
-3,3,-1,-6,7,8,1,1,I
-11,3,0,12,4,-1,-4,-9,I
-10,1,-2,-2,-9,-5,-3,4,I
-3,-10,-5,-11,-13,-9,-7,-2,I
-3,-4,-2,1,4,-2,-1,-3,I
-3,5,-1,-3,-5,-6,-1,-4,I
1,-2,-1,-4,2,4,1,-4,I
-17,-1,-4,-12,-1,-2,-6,8,I
-7,-2,0,6,-2,0,1,2,I
7,6,-2,0,5,0,-1,0,I
14,5,-3,1,17,10,4,7,I
-1,1,2,0,-2,2,0,-1,I
-5,-24,-6,-4,0,-2,-2,1,I
9,3,0,-8,6,-4,-1,5,I
2,3,2,5,10,2,-1,-5,I
-1,-4,-4,-7,-34,-14,-4,-1,I
-7,-2,-3,-1,-12,-10,-3,1,I
-6,-3,1,10,3,1,0,3,I
3,6,-4,-1,-7,-7,-2,2,I
-18,-22,-9,5,8,-1,-2,-1,I
18,1,-3,0,-2,-3,1,3,I
1,-1,7,16,20,16,3,-3,I
8,1,1,-1,14,4,2,-1,I
3,8,5,-2,-8,-4,-2,3,I
-2,9,-5,-6,-14,-2,-1,2,I
1,1,-4,-12,0,-2,-4,-5,I
12,1,3,4,16,4,0,5,I
0,-2,2,4,5,4,5,4,I
-10,-6,2,0,4,4,-1,-6,I
-10,6,4,-1,-7,5,5,2,I
-3,-8,-4,5,12,0,-7,2,I
-7,0,0,6,11,5,3,5,I
19,10,1,11,2,4,3,0,I
-8,-6,-2,0,-11,-3,-1,-4,I
-7,3,2,4,4,-6,-6,-4,I
2,-1,-2,4,0,1,2,1,I
-4,-5,-2,-2,-1,0,1,3,I
8,-7,-1,-12,-5,-2,0,0,I
-4,0,0,5,-16,-2,-2,0,I
1,3,2,-1,9,-1,-3,-4,I
-1,-7,-3,1,4,3,-2,-2,I
1,16,9,15,11,10,3,3,I
3,-3,-2,-3,-6,-2,-1,2,I
2,2,1,-6,2,-6,-6,1,I
-7,-10,-5,-4,4,-2,-4,-2,I
8,-1,-3,-5,-5,-1,-2,0,I
0,-2,-4,-10,-49,-8,2,0,I
-11,-11,-5,0,16,4,3,-1,I
-4,-4,-1,-3,4,2,2,-1,I
1,10,0,-7,-6,-8,-2,5,I
9,7,0,-10,-1,0,0,0,I
15,-2,-6,-12,-22,-19,-10,-3,I
-6,-2,3,13,35,11,4,-1,I
4,-1,-4,-4,8,5,-1,0,I
-7,11,8,5,14,1,-1,-2,I
10,-8,-3,0,2,2,3,1,I
5,-3,-2,3,-9,-4,-5,-3,I
-4,-9,-5,-17,-15,-16,-7,-4,I
-2,-1,0,3,11,-1,-2,1,I
3,-1,0,7,-11,0,0,-1,I
-4,-1,3,5,3,5,3,-2,I
6,7,-2,5,-3,-3,-1,-2,I
-11,-1,-3,-2,2,3,6,-1,I
-9,-5,-2,-5,-4,-8,-1,-3,I
4,-11,-10,-9,-2,-3,-2,-1,I
-20,26,1,1,-4,1,-1,-1,I
-4,12,4,5,-2,-1,0,-8,I
1,-8,4,-1,-2,-4,-8,-2,I
-14,3,-3,5,8,-4,-7,-6,I
-11,-8,-4,-5,3,-1,0,-1,I
5,-4,-2,-5,4,-10,-3,1,I
1,2,1,5,21,8,7,1,I
-1,-12,-6,-5,1,-2,-1,3,I
4,7,-3,-1,5,3,1,4,I
-12,-1,-6,-6,10,3,-2,-3,I
1,-10,-6,-6,9,-5,-1,0,I
10,3,3,1,16,7,3,6,I
2,4,0,7,12,4,2,-3,I
1,-1,-7,-13,9,1,-1,1,I
3,0,-1,15,-2,2,-1,4,I
2,-6,-7,-22,-30,-7,-4,-14,K
6,-5,-5,-5,-15,-1,1,-5,K
3,8,2,30,57,2,3,8,K
9,14,-5,-5,-34,-4,0,8,K
-3,1,0,-7,-4,-4,2,2,K
5,3,1,-1,-68,0,5,7,K
-4,-4,0,3,9,0,4,10,K
2,-1,5,43,79,8,-13,-48,K
2,-2,3,19,64,-3,4,-1,K
-7,-2,-2,-16,13,-2,-5,0,K
3,-2,1,-19,-54,3,-2,-13,K
1,0,4,20,65,7,0,0,K
5,8,-4,-12,-57,-7,2,11,K
10,3,3,5,7,9,-3,5,K
-4,-4,-2,4,6,-1,-1,6,K
5,-1,-9,-31,-77,-14,-2,12,K
4,1,1,21,21,0,0,12,K
-6,-1,0,-7,5,-4,-4,-15,K
-3,0,-1,-3,-1,-7,0,3,K
5,-6,-8,-22,-54,-3,-4,10,K
-5,-1,5,-6,-4,4,-5,-20,K
0,-5,-5,-6,40,-6,0,4,K
-17,4,5,12,38,3,0,-12,K
5,-4,1,13,31,4,1,7,K
10,5,-1,-3,-23,-4,-3,-10,K
9,2,0,-4,8,-3,1,23,K
-1,2,1,-15,-11,1,1,1,K
-1,0,4,17,53,11,2,-4,K
0,-4,-3,-5,-16,1,1,-9,K
-11,2,5,21,3,-2,-5,-14,K
6,-2,0,7,32,-3,-2,10,K
12,-1,-1,-2,18,2,-2,-4,K
14,11,2,-7,-33,-1,1,4,K
-13,-3,1,11,25,-3,1,-20,K
2,-6,-2,-17,-3,-2,0,-5,K
9,7,2,2,1,2,7,26,K
-3,-4,-2,-2,28,0,0,-5,K
2,1,-4,-11,-35,-5,0,21,K
7,1,2,0,-29,-5,-3,8,K
1,-3,-4,-3,7,-1,0,-32,K
-1,-4,-3,-12,-13,-3,-2,-32,K
0,2,3,17,53,2,0,-3,K
7,0,-1,3,-47,-3,2,4,K
4,2,0,18,11,1,1,-2,K
-2,1,3,3,55,3,1,4,K
-15,-2,-4,-1,16,-1,-4,-24,K
-3,-1,3,22,9,5,3,2,K
2,3,-1,2,-9,-1,-2,-11,K
0,0,-7,-24,-34,0,-4,-1,K
-9,-2,2,19,2,-1,2,0,K
-9,-9,-6,-4,7,-1,-4,-3,K
-8,2,-3,-10,-7,-5,-15,-36,K
5,-1,0,13,-1,-2,-2,9,K
-11,-6,0,-8,6,1,5,10,K
12,-1,-4,-6,-1,-5,-7,13,K
-5,2,5,25,12,3,0,5,K
3,-2,3,20,41,3,0,-11,K
-7,-5,-7,-3,-16,-1,2,31,K
0,-3,1,-12,19,-1,2,20,K
-2,-3,-2,6,13,4,2,-4,K
-6,-4,-2,-12,-20,-3,-5,-22,K
10,8,-3,5,-9,-9,-1,-6,K
0,1,-1,10,3,-3,-3,-30,K
1,1,2,6,4,-1,-2,8,K
0,5,1,0,-15,3,1,4,K
0,1,2,17,45,7,1,-16,K
-1,-3,-1,14,12,3,-6,-25,K
-10,-5,0,-1,-4,4,7,3,K
0,-7,-7,-17,-30,-4,3,-2,K
4,8,-1,-4,-3,-1,-1,1,K
1,3,4,8,41,-1,-1,-2,K
-8,1,-2,2,-6,-3,-6,0,K
0,0,-3,-18,-3,2,3,2,K
-2,-7,-4,-13,-43,-4,-8,-5,K
-2,4,2,6,29,2,2,12,K
-12,2,-3,-9,-39,-4,-3,-22,K
12,-2,0,-11,-47,2,1,0,K
4,-1,-2,-5,8,-1,3,4,K
-9,-3,0,-2,9,0,1,0,K
3,-5,0,2,14,2,0,-9,K
1,-2,-3,-33,-16,2,3,9,K
-1,3,1,1,11,3,0,-13,K
7,4,1,1,-3,-4,-2,-12,K
-7,0,-1,3,-14,0,-1,0,K
-5,3,0,5,20,-3,0,8,K
9,-1,-2,-10,-34,-2,0,-3,K
6,-1,-5,-8,12,-3,-3,-9,K
-4,3,4,21,58,5,2,-2,K
5,1,3,1,17,1,2,13,K
7,6,-4,-7,-60,-4,-4,-4,K
-5,-8,-7,-28,-67,-1,0,-14,K
-21,-5,-3,-4,5,-6,-3,-11,K
1,1,-2,4,7,-4,-2,8,K
3,3,2,-1,1,-1,2,3,K
-7,-1,0,12,29,-4,-1,-3,K
-1,4,-6,-19,-3,-2,1,-7,K
7,-5,0,-4,-51,0,0,2,K
-22,-2,-1,-13,-32,0,-1,-11,K
10,5,-3,-2,1,-2,1,6,K
-4,3,4,15,19,4,-1,3,K
-14,2,-1,-7,9,-8,-1,10,L
24,4,3,2,-2,-30,0,9,L
-8,-9,-6,-13,-2,12,-4,5,L
-7,11,-1,0,-28,-3,-12,-12,L
-4,11,3,5,-7,-4,-13,-5,L
-24,7,6,6,13,8,-4,-9,L
7,14,6,10,10,2,-3,5,L
9,11,3,0,24,17,-4,0,L
29,-1,0,7,-8,11,12,6,L
7,10,0,-1,7,36,14,6,L
-4,17,-1,6,-4,1,7,0,L
-6,-20,-5,-3,26,-16,4,-4,L
5,7,0,-3,-17,34,-1,-15,L
16,-10,-3,-1,-25,-5,-1,22,L
12,-4,-8,-15,27,28,1,9,L
8,5,-4,-3,14,10,27,10,L
-30,-14,-2,-5,26,6,-10,-18,L
22,6,1,5,12,3,-13,11,L
8,9,2,3,2,2,-1,1,L
-18,-12,-9,1,-7,7,-1,-7,L
-14,-12,2,10,10,-8,-11,6,L
-2,10,6,15,8,-21,-5,2,L
20,-7,5,3,-9,8,-17,0,L
41,1,-2,-3,39,5,-4,19,L
0,1,0,1,11,-9,16,6,L
-10,-8,0,-9,30,18,5,-19,L
-2,1,3,6,-8,25,17,-3,L
-69,-13,1,5,-7,-5,1,-1,L
3,-16,-1,-1,-4,-26,1,14,L
-21,-7,-3,-1,7,-23,5,-16,L
5,5,-1,9,-7,25,9,-6,L
-3,0,0,-9,16,37,7,13,L
15,3,-9,-13,27,-2,5,-22,L
13,7,2,5,27,0,0,14,L
-2,-25,-2,4,11,2,4,-15,L
14,-11,-8,-7,-17,4,10,7,L
-7,3,-7,-10,1,13,3,5,L
9,15,3,-3,-13,-20,6,19,L
-5,-8,-5,-13,-20,25,-20,1,L
21,-1,-2,-6,9,-39,-7,0,L
-18,-5,0,2,2,-5,-7,-18,L
-49,9,4,0,7,-4,16,-5,L
1,-5,5,17,37,5,-7,-15,L
26,4,2,6,-3,0,19,4,L
5,-1,-2,-3,-2,-10,7,21,L
20,1,1,-9,21,22,-7,23,L
-3,-7,1,7,9,-2,17,2,L
-7,4,-1,8,-21,2,-2,-12,L
18,4,-1,-5,21,25,7,11,L
17,4,2,8,16,5,0,7,L
-4,-1,0,0,9,-12,0,-15,L
-24,5,-7,-8,-44,9,3,-4,L
-3,-3,-2,4,11,-46,-6,-9,L
18,-11,-4,-9,-14,9,4,12,L
-19,-5,-3,1,10,0,3,-3,L
15,-6,-7,-11,-6,-46,-17,-7,L
-2,10,4,12,15,-3,1,3,L
2,3,-7,-3,-35,11,-3,-5,L
-29,-22,-6,-1,-6,14,-6,8,L
6,7,4,18,8,-8,-1,1,L
0,-16,-1,-2,-3,4,-13,0,L
16,-3,-5,-12,-6,-14,10,11,L
0,-1,0,3,-17,-6,-13,-4,L
31,5,3,5,-7,-32,0,22,L
18,-6,-3,-2,1,0,2,1,L
13,-3,-4,-9,-2,6,-9,5,L
24,28,5,21,11,15,5,2,L
-5,-13,3,5,-36,0,5,5,L
35,11,1,-1,16,0,15,9,L
14,2,0,2,-11,-33,-7,-13,L
5,13,-2,-5,21,31,-17,-29,L
8,-18,0,-1,14,7,7,-1,L
14,1,-3,9,-15,-9,9,20,L
-19,-3,0,-12,-6,-3,9,-2,L
2,-4,0,5,3,-19,-8,-5,L
-6,-9,1,4,-24,19,-2,-2,L
-17,-4,-8,-17,8,-44,-14,1,L
-24,9,-2,-2,-21,-25,-9,-34,L
-2,-5,3,4,-1,2,5,3,L
-6,0,-7,-16,-32,-18,-7,-19,L
-11,-6,-2,5,0,23,5,0,L
-8,-1,5,6,-9,7,-3,-8,L
25,-5,-2,2,-32,-16,14,48,L
-22,1,-4,-3,-7,-1,-19,-11,L
-12,9,0,-6,5,4,3,-5,L
13,9,3,5,4,-13,6,-5,L
9,0,-2,5,-11,-43,-1,6,L
3,-2,-2,15,15,22,7,9,L
-15,-7,-2,-2,20,3,-5,-13,L
-18,-10,-4,-2,24,21,16,-14,L
8,-13,-1,-4,-12,6,-1,-2,L
-2,-4,1,-8,-22,-10,-5,-3,L
11,9,-8,-29,-35,-6,-5,-1,L
20,-8,-5,-2,36,2,7,12,L
-5,1,-1,6,-12,-31,4,-1,L
-4,14,10,14,15,28,14,1,L
10,-3,-4,-5,14,15,-5,-5,L
-14,-15,-8,-1,-24,0,-6,2,L
3,-3,-4,-7,19,2,-5,3,L
-1,-17,-3,3,-10,-21,0,-3,L
-17,-7,-6,1,-3,-26,-83,-9,M
24,0,-5,-3,-3,-30,2,3,M
16,1,2,-1,-3,-44,-40,7,M
-3,-5,-9,3,-3,-11,-39,-9,M
-1,2,12,-15,-4,13,-1,-3,M
3,1,4,5,-2,-25,-22,2,M
-29,-6,-10,13,-2,-48,0,-3,M
19,1,2,0,3,6,-20,1,M
-8,0,1,-42,11,6,-14,-12,M
-30,-4,-3,-3,-6,16,44,-8,M
2,-2,-1,-5,1,2,3,9,M
-43,-4,-4,17,5,4,8,3,M
19,4,-2,-18,1,-14,-14,1,M
-1,4,2,10,0,-16,-24,-7,M
-8,-2,0,-21,-8,-17,-43,-18,M
7,1,2,1,1,-7,8,-2,M
19,3,-1,-11,4,21,34,9,M
-23,-1,2,-5,6,-5,-3,-10,M
20,4,5,10,2,-4,6,5,M
-20,-5,1,4,12,-21,-45,-17,M
3,-1,2,-10,2,13,13,-2,M
12,0,0,-5,-7,-2,-4,8,M
-10,1,0,9,0,8,17,5,M
-2,1,0,6,4,-1,-8,2,M
-1,2,5,-9,-2,6,-3,3,M
-23,0,1,23,1,-15,25,-1,M
-21,-2,5,5,3,8,-62,-8,M
-2,-5,-1,13,3,-14,-5,1,M
5,1,3,4,0,-18,15,16,M
-18,-1,-2,-9,10,5,7,-10,M
-25,-4,4,17,-7,-2,-7,-8,M
-24,-3,-3,-2,6,12,-2,-13,M
16,0,0,-5,-5,5,0,3,M
-13,-6,-4,-4,1,-21,-19,1,M
-5,-4,-6,-3,-3,4,0,-6,M
26,2,-3,6,-3,-6,-9,9,M
-11,-7,-3,10,5,3,-2,-9,M
6,5,2,-6,3,0,17,-5,M
6,2,4,-15,-6,-3,-67,-22,M
12,3,1,4,-2,-4,0,-8,M
-11,-2,0,-44,-19,-31,15,-14,M
-6,2,0,1,-3,-1,-7,12,M
19,-1,-1,4,3,16,-27,10,M
-3,0,-3,8,-1,-30,-6,-9,M
0,-2,-1,-2,11,2,33,9,M
8,4,1,4,-4,12,18,-4,M
-8,-2,-8,-9,-4,-13,11,-4,M
-3,-3,-2,6,2,14,0,-1,M
6,2,2,4,1,-5,-11,-5,M
24,0,-1,1,-2,6,-20,-3,M
-14,-3,-3,-39,-5,9,-13,-11,M
-7,2,-1,-2,4,8,34,3,M
20,-1,-4,15,3,1,15,15,M
-21,-7,-3,-6,-1,17,-14,-7,M
6,1,-5,-7,-2,-4,8,7,M
-7,-1,0,7,3,11,25,1,M
5,-4,-2,5,3,1,-17,-8,M
-3,3,5,8,5,22,0,7,M
-5,0,-6,-8,-18,-8,1,-11,M
-17,0,2,8,-5,-2,-26,-20,M
5,0,0,7,-2,-3,1,5,M
-9,2,3,7,2,-15,-1,5,M
4,-1,1,-13,-5,-21,10,-3,M
28,0,1,3,6,10,9,24,M
-7,-2,1,10,7,15,-4,10,M
15,0,-3,1,6,-5,-4,6,M
-13,-8,-9,-4,1,-10,4,4,M
-15,-3,-5,27,4,13,19,0,M
-3,-5,-6,-3,-9,-25,-17,6,M
-9,0,-2,7,-3,-16,-14,-28,M
9,-2,-4,3,1,-7,-10,21,M
9,-2,-1,17,2,6,10,-9,M
-46,-4,0,1,5,7,8,-23,M
10,6,1,-14,-3,8,3,2,M
-19,2,1,4,6,-7,18,-9,M
24,0,1,15,11,19,-2,7,M
1,0,5,20,-1,3,6,-2,M
17,4,-2,14,5,14,0,3,M
12,1,3,12,-3,-13,-13,17,M
0,1,1,-12,-13,-27,-9,-21,M
3,-1,0,-2,-1,18,13,10,M
3,-2,-6,-34,4,-2,-20,-1,M
15,2,2,-7,-7,4,11,7,M
13,-1,-7,-21,-9,-8,14,15,M
21,-1,-1,10,1,-2,18,9,M
10,1,-1,15,3,-5,0,11,M
-22,-1,1,0,-10,13,19,-2,M
1,3,-2,3,-7,3,-35,2,M
-17,-5,-10,-20,-7,-14,-19,-11,M
-20,-3,1,3,-7,-42,-51,-11,M
-3,-2,-11,-26,-4,-39,-2,-17,M
-21,-6,-2,-4,-3,-48,-6,-15,M
-6,4,7,8,-5,-8,-14,-10,M
-8,1,-4,9,-10,-5,-19,-8,M
